 Bwd Packet Length Std, Average Packet Size, Bwd Packet Length Mean, Bwd Header Length, Packet Length Std, Max Packet Length, Fwd Packet Length Max,Idle Mean, Avg Bwd Segment Size, Total Backward Packets, Total Length of Bwd Packets, Active Std,Flow Bytes/s, Total Fwd Packets, Idle Max,src_ip,dst_ip,src_port,dst_port,protocol,duration,total_packets,total_bytes,Label
0.0,80.0,0.0,0.0,0.0,80.0,80.0,0.0,0.0,0.0,0.0,0.0,251.00102519066638,6.0,0.0,192.168.1.14,224.0.0.251,5353,5353,UDP,1.912343,6,480,BENIGN
0.0,327.1666666666667,0.0,0.0,31.31781530623673,355.0,355.0,0.0,0.0,0.0,0.0,0.0,5492.336437027125,12.0,0.0,192.168.1.11,239.255.255.250,47199,1900,UDP,0.714814,12,3926,BENIGN
31.033227748492354,300.85714285714283,77.28571428571429,140.0,435.91199261562235,1304.0,1304.0,0.0,77.28571428571429,7.0,541.0,0.0,4786.9712763977095,7.0,0.0,192.168.1.4,20.184.175.4,63514,443,TCP,0.879888,14,4212,BENIGN
0.0,327.1666666666667,0.0,0.0,31.31781530623673,355.0,355.0,0.0,0.0,0.0,0.0,0.0,5402.844306844688,12.0,0.0,192.168.1.11,239.255.255.250,51437,1900,UDP,0.726654,12,3926,BENIGN
54.23073134507981,119.72727272727273,118.16666666666667,240.0,53.63952224906032,168.0,168.0,4.946648836135864,118.16666666666667,12.0,1418.0,0.19982493255744782,127.73582302833448,10.0,4.964645624160767,192.168.1.4,192.168.1.11,61724,8009,TCP,20.620684,22,2634,BENIGN
0.0,327.1666666666667,0.0,0.0,31.31781530623673,355.0,355.0,0.0,0.0,0.0,0.0,0.0,5274.284224811577,12.0,0.0,192.168.1.11,239.255.255.250,44497,1900,UDP,0.744366,12,3926,BENIGN
0.0,327.1666666666667,0.0,0.0,31.31781530623673,355.0,355.0,0.0,0.0,0.0,0.0,0.0,4853.614206518945,12.0,0.0,192.168.1.11,239.255.255.250,55578,1900,UDP,0.808882,12,3926,BENIGN
0.0,327.1666666666667,0.0,0.0,31.31781530623673,355.0,355.0,0.0,0.0,0.0,0.0,0.0,4797.536122887127,12.0,0.0,192.168.1.11,239.255.255.250,44849,1900,UDP,0.818337,12,3926,BENIGN
0.0,54.0,54.0,20.0,0.0,54.0,54.0,0.0,54.0,1.0,54.0,0.0,1053.2914296875363,2.0,0.0,192.168.1.4,20.89.1.10,50662,443,TCP,0.153804,3,162,BENIGN
0.0,327.1666666666667,0.0,0.0,31.31781530623673,355.0,355.0,0.0,0.0,0.0,0.0,0.0,5105.367650555885,12.0,0.0,192.168.1.11,239.255.255.250,34110,1900,UDP,0.768995,12,3926,BENIGN
0.0,327.1666666666667,0.0,0.0,31.31781530623673,355.0,355.0,0.0,0.0,0.0,0.0,0.0,5181.816137644392,12.0,0.0,192.168.1.11,239.255.255.250,49817,1900,UDP,0.757649,12,3926,BENIGN
0.0,54.0,54.0,40.0,0.0,54.0,54.0,0.0,54.0,2.0,108.0,0.0,313.0164128361757,3.0,0.0,192.168.1.4,4.150.223.105,50663,443,TCP,0.862575,5,270,BENIGN
0.0,327.1666666666667,0.0,0.0,31.31781530623673,355.0,355.0,0.0,0.0,0.0,0.0,0.0,5099.410375127935,12.0,0.0,192.168.1.11,239.255.255.250,41573,1900,UDP,0.769893,12,3926,BENIGN
0.0,325.54545454545456,0.0,0.0,32.22467613593837,355.0,355.0,0.0,0.0,0.0,0.0,0.0,4744.519920296072,11.0,0.0,192.168.1.11,239.255.255.250,46698,1900,UDP,0.754766,11,3581,BENIGN
0.0,243.0,0.0,0.0,161.0,404.0,404.0,0.0,0.0,0.0,0.0,0.0,97068178.28571428,2.0,0.0,192.168.1.15,224.0.0.251,5353,5353,UDP,5e-06,2,486,BENIGN
0.0,66.0,66.0,60.0,0.0,66.0,0.0,1.503417730331421,66.0,3.0,198.0,0.0,65.8499617256582,0.0,2.00170636177063,192.168.1.4,192.168.1.15,49238,8009,TCP,3.006835,3,198,BENIGN
0.0,294.0,0.0,0.0,0.0,294.0,294.0,1.017291784286499,0.0,0.0,0.0,0.0,578.0052577662439,2.0,1.017291784286499,192.168.1.2,224.0.0.251,5353,5353,UDP,1.017292,2,588,BENIGN
0.0,327.1666666666667,0.0,0.0,31.31781530623673,355.0,355.0,0.0,0.0,0.0,0.0,0.0,5192.843002853301,12.0,0.0,192.168.1.11,239.255.255.250,49419,1900,UDP,0.756041,12,3926,BENIGN
0.0,129.0,92.0,20.0,37.0,166.0,166.0,0.0,92.0,1.0,92.0,0.0,15288.214969907604,1.0,0.0,192.168.1.4,192.168.1.1,50843,53,UDP,0.016876,2,258,BENIGN
0.0,153.5,92.0,20.0,61.5,215.0,215.0,0.0,92.0,1.0,92.0,0.0,18238.687365439095,1.0,0.0,192.168.1.4,192.168.1.1,53276,53,UDP,0.016832,2,307,BENIGN
232.06713904556452,1235.860465116279,163.54545454545453,220.0,2043.8895157574052,13804.0,13804.0,0.0,163.54545454545453,11.0,1799.0,0.0,42006.83835014189,32.0,0.0,192.168.1.4,140.82.114.21,49239,443,TCP,1.26508,43,53142,BENIGN
204.22832780136847,459.8636363636364,168.88888888888889,180.0,498.19896495043616,1304.0,1304.0,0.0,168.88888888888889,9.0,1520.0,0.0,10606.711846291093,13.0,0.0,192.168.1.4,140.82.114.21,49240,443,TCP,0.95383,22,10117,BENIGN
0.0,60.5,66.0,20.0,5.5,66.0,55.0,0.0,66.0,1.0,66.0,0.0,3502.1031770128902,1.0,0.0,192.168.1.4,34.144.254.29,65208,443,TCP,0.034551,2,121,BENIGN
0.0,327.1666666666667,0.0,0.0,31.31781530623673,355.0,355.0,0.0,0.0,0.0,0.0,0.0,4922.017961791588,6.0,0.0,192.168.1.11,239.255.255.250,40238,1900,UDP,0.39882,6,1963,BENIGN
