 Bwd Packet Length Std, Average Packet Size, Bwd Packet Length Mean, Bwd Header Length, Packet Length Std, Max Packet Length, Fwd Packet Length Max,Idle Mean, Avg Bwd Segment Size, Total Backward Packets, Total Length of Bwd Packets, Active Std,Flow Bytes/s, Total Fwd Packets, Idle Max,src_ip,dst_ip,src_port,dst_port,protocol,duration,total_packets,total_bytes,Label
8216.945911,2445.9375,4827.875,160,6279.5602,23808,94,6.513635397,4827.875,8,38623,0.536523461,5152.432009,8,6.513635397,192.168.1.4,70.130.228.122,50934,443,6,7.595442295,16,39135,BENIGN
50.32389434,359.0714286,91.87234043,940,498.7278408,1514,1514,3.161938538,91.87234043,47,4318,0.368621685,498.647425,65,9.830500126,192.168.1.3,192.168.1.4,8009,49594,6,80.6501708,112,40216,BENIGN
0,110,110,180,0,110,0,1.507723004,110,9,990,0,82.07741057,0,1.514907122,192.168.1.1,192.168.1.4,137,137,17,12.06178403,9,990,BENIGN
479.742483,531.6111111,489.5,200,519.2837095,1296,1292,0,489.5,10,4895,0,73463.46526,8,0,192.168.1.4,192.178.174.102,49598,443,17,0.130255222,18,9569,BENIGN
3,72.8,61,40,17.6,94,94,0,61,2,122,0,103844.8276,3,0,192.168.1.4,70.130.228.122,50935,443,6,0.00350523,5,364,BENIGN
226.2242431,347.3,170.8571429,280,559.0248146,2558,2558,0,170.8571429,14,2392,0,10458.67475,16,0,18.66.41.55,192.168.1.4,443,50941,6,0.996206522,30,10419,BENIGN
3,72.8,61,40,17.6,94,94,0,61,2,122,0,93223.82952,3,0,192.168.1.4,70.130.228.122,49261,443,6,0.003904581,5,364,BENIGN
183.5860561,149.1,154.6,200,163.5206103,673,483,0,154.6,10,1546,0,11101.17339,10,0,18.66.41.55,192.168.1.4,443,50942,6,0.268620253,20,2982,BENIGN
0,148.5,95,20,53.5,202,202,0,95,1,95,0,44937.35031,1,0,192.168.1.1,192.168.1.4,53,61587,17,0.006609201,2,297,BENIGN
130.3532093,337.8076923,132.4285714,280,557.0220282,2558,2558,0,132.4285714,14,1854,0,7012.508415,12,0,18.172.78.102,192.168.1.4,443,50943,6,1.252476215,26,8783,BENIGN
130.4468967,327.4814815,132.5,280,431.0820469,1308,1308,61.34898782,132.5,14,1855,0.26015377,142.8770039,13,61.34898782,18.172.78.102,192.168.1.4,443,50944,6,61.88539624,27,8842,BENIGN
127.091721,332,124.1666667,240,782.9456642,3808,3808,0,124.1666667,12,1490,0,21031.77013,11,0,18.66.41.55,192.168.1.4,443,50945,6,0.363069773,23,7636,BENIGN
191.5660606,155.1578947,168,180,167.054124,673,483,0,168,9,1512,0,8254.464551,10,0,18.66.41.55,192.168.1.4,443,50946,6,0.357140064,19,2948,BENIGN
301.2192723,213.6363636,222.5,200,323.5519553,1308,1308,60.68293285,222.5,10,2225,0.108451843,77.14721074,12,60.68293285,18.66.41.55,192.168.1.4,443,50947,6,60.92248774,22,4700,BENIGN
1596.493248,599.3181818,1115.555556,180,1139.415376,5054,1304,0,1115.555556,9,10040,0,16770.21029,13,0,192.168.1.4,52.168.117.169,50949,443,6,0.786215544,22,13185,BENIGN
1847.644766,676.0526316,750.1333333,300,1233.813236,7554,1304,6.226934552,750.1333333,15,11252,0.193322817,1878.654696,23,10.05929971,192.168.1.4,4.207.44.67,60440,443,6,13.67467904,38,25690,BENIGN
1056.823738,596.6818182,922.3636364,220,855.6346601,3804,1304,0,922.3636364,11,10146,0,12262.28778,11,0,192.168.1.4,20.184.175.17,61640,443,6,1.070518017,22,13127,BENIGN
